id_icpe,nom_original,structure,etablissement,nom_complet,code_insee_commune,nom_commune,epci_siren,epci_nom,coordonnees_lat_lon,geometrie_geojson,id_ligne_export,siret,regime_icpe,categorie_seveso,priorite_nationale,url_fiche_georisques,elevage_bovins,elevage_porcs,elevage_volailles,activite_carriere,activite_eolienne,activite_industrielle,directive_ied,code_naf_division,date_enregistrement,annee_enregistrement
5200379,SOGARA STATIONS SERVICE (CARREFOUR),SOGARA STATIONS SERVICE (CARREFOUR),,SOGARA STATIONS SERVICE (CARREFOUR),33039,Bègles,243300316,Bordeaux Métropole,"44.7952199, -0.531233","{""coordinates"": [-0.531233, 44.7952199], ""type"": ""Point""}",476,50476710400087,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200379,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,47,2025-02-10T00:00:00+01:00,2025
5200382,VEOLIA - Unité Opérationnelle de Bègles,VEOLIA,Unité Opérationnelle de Bègles,VEOLIA — Unité Opérationnelle de Bègles,33039,Bègles,243300316,Bordeaux Métropole,"44.7978569, -0.531614","{""coordinates"": [-0.531614, 44.7978569], ""type"": ""Point""}",477,46420237300104,AUTORISATION,NON_SEVESO,TRUE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200382,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,38,2026-03-06T00:00:00+01:00,2026
5201064,MONNAIE de PARIS,MONNAIE de PARIS,,MONNAIE de PARIS,33318,Pessac,243300316,Bordeaux Métropole,"44.7874669, -0.6759439","{""coordinates"": [-0.6759439, 44.7874669], ""type"": ""Point""}",731,16002001200029,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201064,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32,2026-03-21T00:00:00+01:00,2026
5201072,DOMOFRANCE,DOMOFRANCE,Pessac — Avenue de la Chateigneraie,DOMOFRANCE — Pessac — Avenue de la Chateigneraie,33318,Pessac,243300316,Bordeaux Métropole,"44.8068739, -0.629117","{""coordinates"": [-0.629117, 44.8068739], ""type"": ""Point""}",736,45820496300029,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201072,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,2025-02-10T00:00:00+01:00,2025
5201091,TISSOT,TISSOT,,TISSOT,33327,Podensac,200069581,CC Convergence Garonne,"44.6472409, -0.3565949","{""coordinates"": [-0.3565949, 44.6472409], ""type"": ""Point""}",744,56165001100019,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201091,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025
5201103,PIERRARD MARCELLE,PIERRARD MARCELLE,,PIERRARD MARCELLE,33055,Blaignan-Prignac,200069995,CC Médoc Coeur de Presqu'île,"45.3274209, -0.9124059","{""coordinates"": [-0.9124059, 45.3274209], ""type"": ""Point""}",750,,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201103,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025
5201113,DECONS Raymond,DECONS Raymond,,DECONS Raymond,33349,Quinsac,243301439,CC des Portes de l'Entre-Deux-Mers,"44.7584619, -0.483605","{""coordinates"": [-0.483605, 44.7584619], ""type"": ""Point""}",753,78197319300019,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201113,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,56,2025-02-10T00:00:00+01:00,2025
5201122,TERRES DU SUD - La Réole,TERRES DU SUD,La Réole,TERRES DU SUD — La Réole,33352,La Réole,200044394,CC du Réolais en Sud Gironde,"44.5835069, -0.056268","{""coordinates"": [-0.056268, 44.5835069], ""type"": ""Point""}",757,38156184400022,AUTRE,,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201122,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,46,2025-02-10T00:00:00+01:00,2025
5201124,SARL LE LAY,SARL LE LAY,,SARL LE LAY,33352,La Réole,200044394,CC du Réolais en Sud Gironde,"44.5863839, -0.0132079","{""coordinates"": [-0.0132079, 44.5863839], ""type"": ""Point""}",758,21330352200030,AUTORISATION,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201124,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,2025-02-10T00:00:00+01:00,2025
5201134,MAILLE PAUL,MAILLE PAUL,,MAILLE PAUL,33543,Verdelais,200043974,CC du Sud Gironde,"44.5815219, -0.2626289","{""coordinates"": [-0.2626289, 44.5815219], ""type"": ""Point""}",760,,ENREGISTREMENT,NON_SEVESO,FALSE,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201134,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,2025-02-10T00:00:00+01:00,2025
